0,1,2,3,4,5,6,7,8,9,10,11,12,13,binary_label
1738.json,mostly-true,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""","immigration,legal-issues",alfredo-gutierrez,Former state Senator,Arizona,democrat,0.0,0.0,0.0,1.0,0.0,an interview on MSNBC's Hardball,1
7425.json,mostly-true,The only time in our history when the debt has been higher than this was the end of World War II.,debt,david-cote,President and CEO of Honeywell International,,none,0.0,0.0,0.0,1.0,0.0,a speech during a “Fix the Debt” press event,1
10039.json,mostly-true,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,"deficit,federal-budget,health-care",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a speech at Northwestern University,1
2166.json,true,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","economy,abc-news-week",george-will,Columnist,Maryland,columnist,7.0,6.0,3.0,5.0,1.0,"a roundtable discussion on ABC's ""This Week""",1
2109.json,half-true,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,energy,maurice-ferre,Former mayor of Miami,Florida,democrat,1.0,0.0,1.0,0.0,0.0,an editorial board meeting,1
10053.json,true,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,"health-care,legal-issues,women",jeanne-shaheen,Senator,New Hampshire,democrat,3.0,0.0,4.0,2.0,0.0,a news release,1
9613.json,half-true,"At some point in their lives, 99% of women use birth control.",sexuality,susan-happ,Jefferson County District Attorney,Wisconsin,democrat,0.0,0.0,1.0,0.0,0.0,a press release,1
9989.json,true,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,federal-budget,gwen-graham,,Florida,democrat,0.0,0.0,1.0,0.0,0.0,a campaign commercial,1
2044.json,half-true,"In Rick Perrys Texas, we import nurses ... from other countries.",health-care,bill-white,Former mayor of Houston,Texas,democrat,2.0,3.0,5.0,7.0,3.0,a speech at the Texas Democratic Party convention,1
11657.json,mostly-true,There is a federal criminal law that says its a crime to transport dentures across state lines.,public-health,bob-goodlatte,U.S. Congressman,Virginia,republican,0.0,1.0,4.0,3.0,0.0,a radio interview.,1
11131.json,mostly-true,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,"crime,criminal-justice",cory-booker,U.S. senator,New Jersey,democrat,0.0,4.0,2.0,8.0,0.0,a post on Instagram,1
10386.json,true,I belong to the AFL-CIO.,"candidates-biography,labor",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,Texas Public Policy Foundation policy orientation,1
2020.json,mostly-true,The insurance commissioner cant do squat about health care.,health-care,ralph-hudgens,,Georgia,republican,0.0,0.0,0.0,1.0,0.0,a radio interview broadcast over the Internet,1
4264.json,half-true,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,polls,mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,a New Hampshire town hall.,1
9213.json,true,Did you know US population growth is at its lowest since the Great Depression?,"immigration,population",robert-sarvis,"lawyer, businessman",Virginia,libertarian,0.0,0.0,0.0,1.0,0.0,a tweet.,1
7599.json,mostly-true,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",education,will-weatherford,State Representative,Florida,republican,2.0,3.0,4.0,3.0,0.0,a Board of Governors meeting,1
7128.json,mostly-true,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,housing,national-association-realtors,,,none,0.0,0.0,0.0,1.0,0.0,a web post,1
10072.json,mostly-true,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.","income,message-machine-2014,poverty",alison-lundergan-grimes,Secretary of State,Kentucky,democrat,2.0,2.0,3.0,1.0,0.0,a debate,1
10624.json,mostly-true,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.","foreign-policy,history,terrorism",mitch-mcconnell,Senate minority leader,Kentucky,republican,7.0,6.0,5.0,7.0,0.0,"an interview on CNN's ""State of the Union""",1
338.json,true,Sen. Obama has always had a 100 percent prochoice rating.,abortion,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,an e-mail message sent to voters before Super Tuesday.,1
7848.json,half-true,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.","candidates-biography,economy,pensions,retirement,state-finances,wealth,workers",frank-caprio,R.I. General Treasurer,Rhode Island,democrat,0.0,0.0,4.0,0.0,0.0,"an appearance on ""10 News Conference""",1
2820.json,true,The (federal) debt is growing by more than $4 billion a day.,"deficit,economy,federal-budget",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,"in ""Fed Up! Our Fight to Save America from Washington""",1
7467.json,mostly-true,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,"government-regulation,jobs,poverty,welfare",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a speech,1
9492.json,half-true,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.","elections,taxes",donna-brazile,Political commentator,"Washington, D.C.",democrat,0.0,1.0,4.0,7.0,0.0,"comments on CNN's ""State of the Union""",1
10423.json,true,The economy is creating jobs at the fastest pace since 1999.,"economy,jobs",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,the State of the Union address,1
6767.json,mostly-true,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,"foreign-policy,israel,message-machine-2012",adam-hasner,,Florida,republican,2.0,1.0,4.0,4.0,0.0,a press release from the Mitt Romney campaign,1
11043.json,mostly-true,"In a majority of states, you can now marry freely, but can still be fired for who you love.","civil-rights,gays-and-lesbians,states",mark-pocan,"State Assembly member, 78th District",Wisconsin,democrat,1.0,2.0,2.0,3.0,0.0,a statement,1
12593.json,mostly-true,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.","economy,retirement",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,"remarks in Cincinnati, Ohio",1
6520.json,true,Says 88 Texas constables have died in the line of duty.,"crime,criminal-justice,history,public-safety,public-service",bruce-elfant,"Constable, Travis County, Precinct 5",Texas,democrat,0.0,0.0,0.0,1.0,0.0,a press statement.,1
9500.json,mostly-true,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",education,republican-party-florida,,,republican,10.0,6.0,6.0,6.0,4.0,a TV ad,1
4629.json,mostly-true,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.","jobs,labor,unions",dave-yost,Ohio auditor,ohio,republican,1.0,0.0,0.0,1.0,0.0,a newspaper column,1
1593.json,true,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",job-accomplishments,alex-sink,,Florida,democrat,1.0,2.0,2.0,4.0,0.0,a fundraising e-mail to supporters,1
10560.json,mostly-true,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,"education,technology,women",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,a conference in Silicon Valley,1
11385.json,half-true,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,"crime,guns",joe-scarborough,Host of a morning show on MSNBC,,none,1.0,4.0,3.0,3.0,0.0,"a broadcast of MSNBC's ""Morning Joe""",1
3836.json,mostly-true,Some neighborhood schools are closing.,"education,state-budget",texas-house-democratic-caucus,,Texas,democrat,0.0,0.0,0.0,1.0,0.0,a press release,1
325.json,mostly-true,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,gays-and-lesbians,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,an automated call to voters,1
2555.json,mostly-true,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.","state-budget,taxes",marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,an ABC News U.S. Senate debate.,1
8985.json,true,Says the U.S. Supreme Court found that Social Security is not guaranteed.,social-security,david-jolly,,Florida,republican,4.0,0.0,1.0,1.0,0.0,a Congressional campaign debate,1
2932.json,true,Oregonians have an amazing no-cost way to fight abortion with free political donations,"abortion,campaign-finance",oregon-right-life-pac,politican action committee,Oregon,none,0.0,0.0,0.0,0.0,0.0,a newspaper ad,1
4884.json,mostly-true,Newt Gingrichs immigration plan offers a new doorway to amnesty.,immigration,mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,a press conference,1
10947.json,mostly-true,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!","debt,federal-budget,taxes",dave-brat,College professor,Virginia,republican,2.0,5.0,0.0,2.0,0.0,a Facebook post,1
12014.json,mostly-true,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,"campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,"a Democratic debate in Flint, Mich.",1
13241.json,half-true,Donald Trump has said nuclear proliferation is OK.,nuclear,mark-warner,U.S. Senator,Virginia,democrat,3.0,1.0,6.0,3.0,0.0,a TV interview.,1
445.json,true,"Hillary Clinton has taken over $800,000 from lobbyists.",ethics,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,an online ad.,1
1835.json,half-true,Says the Arizona immigration law expressly bans racial profiling.,immigration,john-cornyn,Senator,Texas,republican,5.0,3.0,6.0,2.0,1.0,"on NBC's ""Meet the Press""",1
6827.json,mostly-true,Were now spending 42 percent of our economy on government.,"debates,federal-budget,government-efficiency",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,the first presidential debate in Denver,1
2869.json,half-true,We (Democrats) have made steady progress creating jobs and improving our schools.,"education,government-efficiency,job-accomplishments,jobs",armond-budish,Minority leader in the Ohio House of Representatives,Ohio,democrat,0.0,1.0,2.0,3.0,0.0,a news release,1
3054.json,true,"Whether you like to admit it or not, half our general revenue goes to education.","education,state-budget",mike-haridopolos,Florida Senate President,Florida,republican,0.0,3.0,1.0,1.0,0.0,comments to reporters.,1
13432.json,half-true,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,"crime,debt,federal-budget,social-security",americans-united-change,,,none,1.0,4.0,4.0,1.0,0.0,an ad,1
12237.json,half-true,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.","gays-and-lesbians,government-regulation,sexuality",paul-skip-stam,N.C. House Speaker pro tem,North Carolina,republican,0.0,0.0,1.0,0.0,0.0,a newspaper interview,1
704.json,half-true,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,civil-rights,chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain e-mail,1
10887.json,half-true,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.","city-government,crime,drugs,government-regulation,marijuana",robert-puente,,,none,0.0,0.0,1.0,0.0,0.0,remarks to the Milwaukee Common Council,1
12683.json,mostly-true,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,immigration,gary-johnson,Presidential candidate,New Mexico,libertarian,3.0,2.0,5.0,6.0,0.0,an interview on CNN,1
7295.json,half-true,Says Chris Christie vetoed a jobs package of 30 bills.,jobs,stephen-sweeney,State Senator,,democrat,1.0,2.0,3.0,1.0,0.0,a radio interview,1
9554.json,true,There are already more American jobs in the solar industry than in coal mining.,"climate-change,energy,environment,jobs",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2.0,3.0,2.0,7.0,0.0,a newspaper commentary,1
2576.json,half-true,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,"agriculture,job-accomplishments,message-machine",pat-quinn,Governor,Illinois,democrat,0.0,0.0,1.0,0.0,1.0,a campaign commercial,1
81.json,mostly-true,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",immigration,rudy-giuliani,Attorney,New York,republican,9.0,11.0,10.0,7.0,3.0,"St. Petersburg, Fla.",1
5288.json,half-true,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.","economy,job-accomplishments,jobs",one-new-jersey,,,democrat,0.0,0.0,1.0,2.0,0.0,an article posted on One New Jersey’s website,1
8754.json,mostly-true,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,afghanistan,robert-gibbs,Former White House Press Secretary,,democrat,1.0,1.0,0.0,1.0,0.0,"an interview on NBC's ""Meet the Press""",1
3776.json,half-true,Gas prices have gone up $2 since Obama took office.,"energy,gas-prices",michael-williams,Lawyer,Texas,republican,0.0,0.0,1.0,0.0,0.0,a tweet.,1
2537.json,true,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,"marriage,message-machine,women",alan-grayson,U.S. House of Representatives,Florida,democrat,6.0,5.0,4.0,11.0,1.0,a TV ad.,1
4681.json,true,Says judges get better benefits at a lower cost than everybody else in the state.,pensions,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a news conference,1
5524.json,true,There are a lot of casinos across the country that have gone bankrupt.,"bankruptcy,economy,gambling,state-budget,state-finances,states",robert-jacquard,State representative,Rhode Island,democrat,0.0,0.0,0.0,0.0,0.0,a speech,1
5044.json,true,Small businesses create 70 percent of the jobs in America.,"economy,jobs,small-business",eric-cantor,House Majority Leader,Virginia,republican,9.0,6.0,4.0,4.0,4.0,a news release.,1
1266.json,half-true,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform","health-care,medicare",americas-health-insurance-plans,Trade group representing the health insurance industry,"Washington, D.C.",none,0.0,0.0,2.0,0.0,0.0,a televison advertisement,1
8090.json,half-true,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.","children,crime,education",dream-defenders,,Florida,none,0.0,0.0,1.0,0.0,0.0,"a meeting with Wansley Walters, Florida Department of Juvenile Justice Secretary",1
13069.json,mostly-true,If Texas were a country our economy would rank # 10...in the WORLD.,"corrections-and-updates,economy,states",greg-abbott,governor,Texas,republican,11.0,3.0,8.0,6.0,5.0,a tweet,1
8733.json,half-true,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",financial-regulation,wendy-davis,state senator,Texas,democrat,5.0,1.0,8.0,12.0,1.0,a press release,1
7785.json,half-true,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",social-security,marcy-kaptur,Representative from Ohio's Ninth Congressional District,Ohio,democrat,0.0,2.0,4.0,4.0,0.0,House of Representatives floor speech ,1
2802.json,mostly-true,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,"elections,taxes",americans-tax-reform,,,none,4.0,0.0,1.0,1.0,1.0,a news release,1
2269.json,mostly-true,The Republicans have 2 percent of the Muslim vote.,religion,tamara-holder,attorney and contributor to Fox News,Illinois ,none,0.0,0.0,0.0,1.0,0.0,comments on the Hannity show.,1
7243.json,mostly-true,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",criminal-justice,hank-johnson,U.S. Congressman,Georgia,democrat,3.0,0.0,4.0,3.0,0.0,a letter,1
9289.json,half-true,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.","economy,jobs",facebook-posts,Social media posting,,none,14.0,18.0,15.0,11.0,36.0,a meme shared on social media,1
1053.json,true,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.","elections,immigration,pundits",mike-murphy,political strategist,,republican,0.0,0.0,0.0,0.0,0.0,a column in Time magazine.,1
11731.json,mostly-true,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,"candidates-biography,congress,foreign-policy,history,terrorism",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,a posting on the Clinton website,1
11844.json,half-true,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.","economy,income,workers",bernie-s,U.S. Senator,Vermont,independent,18.0,12.0,22.0,41.0,0.0,a political ad,1
4368.json,mostly-true,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,"environment,income",vincent-barrella,"Mayor, Point Pleasant Beach",New Jersey,independent,0.0,0.0,0.0,1.0,0.0,a column published on NJ.com,1
2550.json,true,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.","health-care,taxes",blue-oregon,liberal blog,Oregon,democrat,0.0,0.0,0.0,0.0,0.0,a website posting,1
7123.json,true,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,"elections,states",raymond-bateman,,,republican,0.0,1.0,0.0,0.0,0.0,a column,1
772.json,true,You ... said that Barack Obama was not ready to be commander in chief.,candidates-biography,sarah-palin,,Alaska,republican,9.0,19.0,9.0,6.0,6.0,"St. Louis, Mo.",1
8766.json,mostly-true,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.","economy,jobs,labor,workers",rana-foroohar,Assistant managing editor for Time,,none,0.0,0.0,0.0,1.0,0.0,a CNN interview,1
7261.json,true,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.","bipartisanship,job-accomplishments",tom-niehaus,President of the Ohio Senate,Ohio,republican,0.0,0.0,0.0,0.0,1.0,an online video,1
9837.json,half-true,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.","campaign-finance,environment",nextgen-climate,,,organization,0.0,0.0,3.0,0.0,0.0,a TV ad,1
4267.json,half-true,On how money from a possible lease of the Ohio Turnpike would be used,"infrastructure,transportation",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9.0,8.0,10.0,18.0,3.0,an interview,1
1434.json,mostly-true,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.","economy,federal-budget",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,his State of the Union speech,1
8050.json,half-true,"The president has had 1,540 of his nominations confirmed, only four defeated.",legal-issues,mitch-mcconnell,Senate minority leader,Kentucky,republican,7.0,6.0,5.0,7.0,0.0,an interview on 'Meet the Press',1
2258.json,true,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,"foreign-policy,religion,terrorism",ileana-ros-lehtinen,U.S. Representative,Florida,republican,0.0,0.0,1.0,0.0,0.0,a press release.,1
13380.json,mostly-true,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,"criminal-justice,government-regulation",robby-mook,Campaign manager for Hillary Clinton,New York,democrat,0.0,0.0,0.0,2.0,0.0,"comments on ""Meet the Press""",1
